duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
5.6,2013-08-29,2013,8,17,4,San Jose,San Jose,Subscriber
5.616666666666666,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Customer
5.616666666666666,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Subscriber
5.666666666666667,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
5.666666666666667,2013-08-29,2013,8,15,4,San Francisco,San Francisco,Subscriber
5.7,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Subscriber
5.716666666666667,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
5.716666666666667,2013-08-29,2013,8,17,4,San Jose,San Jose,Subscriber
5.766666666666667,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Customer
5.766666666666667,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Subscriber
5.783333333333333,2013-08-29,2013,8,18,4,San Francisco,San Francisco,Subscriber
5.8,2013-08-29,2013,8,21,4,San Francisco,San Francisco,Subscriber
5.85,2013-08-29,2013,8,14,4,San Francisco,San Francisco,Subscriber
5.883333333333334,2013-08-29,2013,8,11,4,San Francisco,San Francisco,Subscriber
5.916666666666667,2013-08-29,2013,8,12,4,Redwood City,Redwood City,Subscriber
5.916666666666667,2013-08-29,2013,8,15,4,San Francisco,San Francisco,Customer
6.0,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Subscriber
6.0,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Subscriber
6.016666666666667,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
6.033333333333333,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Subscriber
6.033333333333333,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
6.05,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
6.05,2013-08-29,2013,8,20,4,San Jose,San Jose,Customer
6.15,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
6.15,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Customer
6.15,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Customer
6.166666666666667,2013-08-29,2013,8,18,4,San Francisco,San Francisco,Subscriber
6.183333333333334,2013-08-29,2013,8,15,4,San Francisco,San Francisco,Customer
6.233333333333333,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Subscriber
6.25,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
6.25,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Customer
6.266666666666667,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
6.266666666666667,2013-08-29,2013,8,14,4,San Jose,San Jose,Subscriber
6.3,2013-08-29,2013,8,11,4,San Jose,San Jose,Subscriber
6.3,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Customer
6.3,2013-08-29,2013,8,18,4,San Francisco,San Francisco,Subscriber
6.316666666666666,2013-08-29,2013,8,13,4,San Jose,San Jose,Subscriber
6.333333333333333,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
6.333333333333333,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Customer
6.4,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
6.416666666666667,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Customer
6.45,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Subscriber
6.45,2013-08-29,2013,8,22,4,San Jose,San Jose,Subscriber
6.466666666666667,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Subscriber
6.483333333333333,2013-08-29,2013,8,12,4,San Jose,San Jose,Subscriber
6.5,2013-08-29,2013,8,22,4,San Francisco,San Francisco,Subscriber
6.533333333333333,2013-08-29,2013,8,22,4,San Francisco,San Francisco,Customer
6.55,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Customer
6.6,2013-08-29,2013,8,21,4,San Francisco,San Francisco,Subscriber
6.633333333333334,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Customer
6.633333333333334,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
6.65,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Subscriber
6.7,2013-08-29,2013,8,21,4,San Francisco,San Francisco,Subscriber
6.733333333333333,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Subscriber
6.75,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
6.75,2013-08-29,2013,8,18,4,San Francisco,San Francisco,Subscriber
6.75,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Subscriber
6.766666666666667,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Subscriber
6.833333333333333,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Customer
6.866666666666666,2013-08-29,2013,8,14,4,San Jose,San Jose,Customer
6.866666666666666,2013-08-29,2013,8,16,4,San Jose,San Jose,Subscriber
6.866666666666666,2013-08-29,2013,8,18,4,Palo Alto,Palo Alto,Customer
6.883333333333334,2013-08-29,2013,8,15,4,San Francisco,San Francisco,Customer
6.933333333333334,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Customer
6.966666666666667,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
6.966666666666667,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Customer
6.983333333333333,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
6.983333333333333,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
7.0,2013-08-29,2013,8,15,4,San Francisco,San Francisco,Subscriber
7.016666666666667,2013-08-29,2013,8,14,4,San Francisco,San Francisco,Customer
7.033333333333333,2013-08-29,2013,8,21,4,San Francisco,San Francisco,Customer
7.05,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
7.05,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Subscriber
7.05,2013-08-29,2013,8,21,4,San Francisco,San Francisco,Subscriber
7.066666666666666,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Customer
7.083333333333333,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
7.083333333333333,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
7.166666666666667,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
7.166666666666667,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
7.166666666666667,2013-08-29,2013,8,20,4,San Francisco,San Francisco,Subscriber
7.183333333333334,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
7.216666666666667,2013-08-29,2013,8,21,4,San Francisco,San Francisco,Subscriber
7.266666666666667,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Customer
7.266666666666667,2013-08-29,2013,8,18,4,San Francisco,San Francisco,Subscriber
7.266666666666667,2013-08-29,2013,8,21,4,San Francisco,San Francisco,Subscriber
7.3,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
7.333333333333333,2013-08-29,2013,8,15,4,San Francisco,San Francisco,Subscriber
7.333333333333333,2013-08-29,2013,8,20,4,San Francisco,San Francisco,Customer
7.333333333333333,2013-08-29,2013,8,21,4,San Francisco,San Francisco,Subscriber
7.35,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Customer
7.416666666666667,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
7.483333333333333,2013-08-29,2013,8,20,4,San Francisco,San Francisco,Subscriber
7.5,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
7.5,2013-08-29,2013,8,18,4,San Francisco,San Francisco,Customer
7.566666666666666,2013-08-29,2013,8,19,4,San Jose,San Jose,Subscriber
7.566666666666666,2013-08-29,2013,8,19,4,San Jose,San Jose,Subscriber
7.583333333333333,2013-08-29,2013,8,11,4,San Francisco,San Francisco,Customer
7.65,2013-08-29,2013,8,18,4,San Francisco,San Francisco,Subscriber
7.666666666666667,2013-08-29,2013,8,12,4,Palo Alto,Palo Alto,Subscriber
7.666666666666667,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Customer
7.7,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Customer
7.7,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Customer
7.7,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
7.733333333333333,2013-08-29,2013,8,10,4,San Francisco,San Francisco,Subscriber
7.733333333333333,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Customer
7.766666666666667,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Customer
7.85,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
7.866666666666666,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
